t	fluks1	fluks2	P	Tf	Tc	v	I	Xe	Pm	Sm	z1	z2	rho	pcrit	Tfin	Tcin	mdotf	mdotc	c1	c2	c3	c4	c5	c6
0.0	20253578.8016	1.02299651339e+12	200000.122412	72.1203542	56.59708293	0.0	7.04553e+13	9.10207e+13	9.64078e+13	6.24145e+15	40	32.36	0.0	0.00643633	70.0	55.0	5.0	10.0	1336239507.06	3626284387.85	887731224.657	660734471.888	51333102.5698	7073925.72599
0.58936562921	464439937.766	1.02319712691e+12	200041.309242	72.1203543291	56.5970829248	0.0	7.04552998119e+13	9.10206998797e+13	9.64078003634e+13	6.24144999982e+15	40.0	32.36	-3.20559317284e-11	0.00643633	70.0	55.0	5.0	10.0	1336239515.18	3626284433.48	887731196.976	660734358.573	51333083.971	7073938.98268
1.03457114597	464345281.533	1.02298722868e+12	200000.271555	72.1203583775	56.5970830064	0.0	7.04552996923e+13	9.10206997884e+13	9.64078006417e+13	6.24144999969e+15	40.0	32.36	-1.13552907461e-09	0.00643633	70.0	55.0	5.0	10.0	1336239706.15	3626285691.75	887732245.142	660736310.904	51333538.0815	7074042.93346
1.55232778762	464356991.64	1.02301319504e+12	200005.347248	72.120360536	56.5970831452	0.0	7.04552995395e+13	9.1020699683e+13	9.64078009631e+13	6.24144999953e+15	40.0	32.36	-1.72238188977e-09	0.00643633	70.0	55.0	5.0	10.0	1336239815.03	3626286394.45	887732762.051	660737092.473	51333601.5953	7074028.91201
2.07008442927	464345194.192	1.02298703332e+12	200000.23171	72.1203631925	56.597083313	0.0	7.045529939e+13	9.10206995774e+13	9.6407801285e+13	6.24144999937e+15	40.0	32.36	-2.44523624498e-09	0.00643633	70.0	55.0	5.0	10.0	1336239949.88	3626287262.9	887733404.947	660738058.946	51333709.8622	7074046.17318
2.58784107092	464358565.053	1.0230166834e+12	200006.027542	72.1203654315	56.5970835029	0.0	7.04552992386e+13	9.1020699472e+13	9.64078016066e+13	6.24144999922e+15	40.0	32.36	-3.0540658058e-09	0.00643633	70.0	55.0	5.0	10.0	1336240069.0	3626288019.14	887733925.212	660738718.774	51333727.9966	7074036.99347
3.10559771258	464344879.357	1.02298633535e+12	200000.093533	72.1203682094	56.5970837071	0.0	7.04552990908e+13	9.10206993663e+13	9.64078019288e+13	6.24144999906e+15	40.0	32.36	-3.81010608492e-09	0.00643633	70.0	55.0	5.0	10.0	1336240216.03	3626288953.69	887734583.025	660739603.771	51333816.7969	7074057.01485
3.62335435423	464360176.465	1.02302025769e+12	200006.724583	72.1203704771	56.5970839232	0.0	7.04552989406e+13	9.10206992607e+13	9.64078022506e+13	6.24144999891e+15	40.0	32.36	-4.42675117726e-09	0.00643633	70.0	55.0	5.0	10.0	1336240343.14	3626289747.76	887735093.504	660740148.032	51333812.8823	7074045.28473
4.14111099588	464344337.512	1.02298513539e+12	199999.857175	72.1203733405	56.5970841463	0.0	7.04552987943e+13	9.1020699155e+13	9.6407802573e+13	6.24144999875e+15	40.0	32.36	-5.20615020135e-09	0.00643633	70.0	55.0	5.0	10.0	1336240500.8	3626290737.27	887735757.636	660740964.16	51333896.9552	7074067.0205
4.65886763753	464361870.147	1.02302401561e+12	200007.457495	72.1203755964	56.5970843761	0.0	7.04552986451e+13	9.10206990493e+13	9.6407802895e+13	6.24144999859e+15	40.0	32.36	-5.81957947503e-09	0.00643633	70.0	55.0	5.0	10.0	1336240634.1	3626291556.52	887736248.703	660741400.72	51333878.4165	7074052.27903
5.17662427918	464343566.247	1.02298342769e+12	199999.521536	72.1203785215	56.5970846087	0.0	7.04552985002e+13	9.10206989435e+13	9.64078032177e+13	6.24144999843e+15	40.0	32.36	-6.61582841153e-09	0.00643633	70.0	55.0	5.0	10.0	1336240801.28	3626292593.19	887736914.15	660742162.547	51333963.7972	7074076.16157
5.69438092083	464363684.42	1.0230280418e+12	200008.242848	72.1203807335	56.5970848452	0.0	7.04552983518e+13	9.10206988378e+13	9.64078035398e+13	6.24144999828e+15	40.0	32.36	-7.21726791092e-09	0.00643633	70.0	55.0	5.0	10.0	1336240939.26	3626293427.13	887737378.629	660742499.137	51333932.7953	7074058.14124
6.21213756248	464342552.131	1.02298118222e+12	199999.080759	72.1203837047	56.5970850819	0.0	7.04552982082e+13	9.10206987319e+13	9.64078038627e+13	6.24144999812e+15	40.0	32.36	-8.02608267214e-09	0.00643633	70.0	55.0	5.0	10.0	1336241115.18	3626294505.33	887738042.739	660743221.199	51334022.6293	7074084.66103
